latitude,longitude,population
20.5448611,-103.2806944,4.309854
20.5448611,-103.2801389,4.309854
20.5473611,-103.2784722,4.309854
20.5468056,-103.2815278,4.309854
20.5479167,-103.2851389,4.309854
20.5459722,-103.28125,4.309854
20.5479167,-103.2845833,4.309854
20.54625,-103.2793056,4.309854
20.5465278,-103.2815278,4.309854
20.5470833,-103.2793056,4.309854
20.5459722,-103.2801389,4.309854
20.5459722,-103.2815278,4.309854
20.5454167,-103.2798611,4.309854
20.5448611,-103.2790278,4.309854
20.5451389,-103.2804167,4.309854
20.5465278,-103.27875,4.309854
20.5473611,-103.27875,4.309854
20.5479167,-103.2848611,4.309854
20.5445833,-103.2793056,4.309854
20.54625,-103.2795833,4.309854
20.5465278,-103.2804167,4.309854
20.5451389,-103.2798611,4.309854
25.9834722,-98.09125,2.947453
25.9831944,-98.0915278,2.947453
25.9798611,-98.0926389,2.947453
25.9851389,-98.08875,2.947453
25.9815278,-98.0898611,2.947453
25.9793056,-98.0918056,2.947453
25.9818056,-98.0923611,2.947453
25.9798611,-98.0898611,2.947453
25.9840278,-98.0915278,2.947453
25.9843056,-98.0918056,2.947453
25.98375,-98.0906944,2.947453
25.9848611,-98.08875,2.947453
25.9840278,-98.0904167,2.947453
25.9818056,-98.0893056,2.947453
25.9795833,-98.0920833,2.947453
25.9818056,-98.08875,2.947453
25.97875,-98.08875,2.947453
25.9790278,-98.08875,2.947453
25.9795833,-98.0893056,2.947453
25.9831944,-98.0909722,2.947453
25.9798611,-98.0909722,2.947453
25.9843056,-98.08875,2.947453
25.9823611,-98.0879167,2.947453
25.9834722,-98.0915278,2.947453
25.98375,-98.0879167,2.947453
25.9840278,-98.0890278,2.947453
25.9798611,-98.0934722,2.947453
25.9831944,-98.0898611,2.947453
25.98375,-98.0881944,2.947453
25.9848611,-98.09125,2.947453
25.9854167,-98.0909722,2.947453
25.9795833,-98.0884722,2.947453
25.9826389,-98.0876389,2.947453
25.9848611,-98.0879167,2.947453
25.9795833,-98.0906944,2.947453
25.9798611,-98.0929167,2.947453
25.9829167,-98.0890278,2.947453
25.9793056,-98.0929167,2.947453
25.9820833,-98.0879167,2.947453
25.9834722,-98.0898611,2.947453
25.9826389,-98.0898611,2.947453
25.98125,-98.0926389,2.947453
25.9804167,-98.0926389,2.947453
25.9806944,-98.0895833,2.947453
25.9829167,-98.0920833,2.947453
25.9843056,-98.0873611,2.947453
25.9820833,-98.0915278,2.947453
25.9834722,-98.0895833,2.947453
25.98375,-98.08875,2.947453
25.9845833,-98.0870833,2.947453
25.9845833,-98.0876389,2.947453
25.9798611,-98.0884722,2.947453
25.9840278,-98.0879167,2.947453
25.9826389,-98.0895833,2.947453
25.9826389,-98.0909722,2.947453
25.98375,-98.0918056,2.947453
25.9806944,-98.0904167,2.947453
25.9798611,-98.0915278,2.947453
25.9829167,-98.0904167,2.947453
25.9806944,-98.0876389,2.947453
25.9843056,-98.0893056,2.947453
25.9834722,-98.0870833,2.947453
25.9795833,-98.09125,2.947453
25.9820833,-98.0898611,2.947453
25.9809722,-98.0920833,2.947453
25.9843056,-98.0898611,2.947453
25.9831944,-98.09125,2.947453
25.9848611,-98.08625,2.947453
25.9793056,-98.08875,2.947453
25.9804167,-98.0931944,2.947453
25.9820833,-98.0906944,2.947453
25.9851389,-98.0890278,2.947453
25.9840278,-98.0909722,2.947453
25.98375,-98.0901389,2.947453
25.9829167,-98.0870833,2.947453
25.9834722,-98.0890278,2.947453
25.9845833,-98.0865278,2.947453
25.9840278,-98.0868056,2.947453
25.9804167,-98.0915278,2.947453
25.9815278,-98.0884722,2.947453
25.9845833,-98.08625,2.947453
25.9798611,-98.0904167,2.947453
25.9851389,-98.0879167,2.947453
25.9820833,-98.0918056,2.947453
25.9823611,-98.08875,2.947453
25.9826389,-98.0873611,2.947453
25.9818056,-98.0884722,2.947453
25.9851389,-98.0881944,2.947453
25.9815278,-98.0904167,2.947453
25.9826389,-98.0906944,2.947453
25.9851389,-98.0884722,2.947453
25.9823611,-98.0901389,2.947453
25.9806944,-98.0901389,2.947453
25.9798611,-98.0879167,2.947453
25.9818056,-98.0895833,2.947453
25.9834722,-98.0881944,2.947453
25.9831944,-98.0890278,2.947453
25.9845833,-98.0904167,2.947453
25.9815278,-98.0895833,2.947453
25.9798611,-98.0918056,2.947453
25.9806944,-98.0906944,2.947453
25.9845833,-98.0873611,2.947453
25.9834722,-98.0909722,2.947453
25.9845833,-98.08875,2.947453
25.9809722,-98.0876389,2.947453
25.9834722,-98.0868056,2.947453
25.9823611,-98.0926389,2.947453
25.9798611,-98.0901389,2.947453
25.9798611,-98.0906944,2.947453
25.9818056,-98.0881944,2.947453
25.9840278,-98.09125,2.947453
25.9809722,-98.0915278,2.947453
25.9834722,-98.0865278,2.947453
25.9815278,-98.0929167,2.947453
25.9818056,-98.0890278,2.947453
25.9845833,-98.0906944,2.947453
25.9809722,-98.0918056,2.947453
25.9845833,-98.0895833,2.947453
25.9801389,-98.0895833,2.947453
25.9795833,-98.0923611,2.947453
25.9848611,-98.0909722,2.947453
25.9820833,-98.09125,2.947453
25.9804167,-98.0898611,2.947453
25.9826389,-98.0918056,2.947453
25.9818056,-98.0926389,2.947453
25.9848611,-98.0873611,2.947453
25.98125,-98.0898611,2.947453
25.9826389,-98.0920833,2.947453
25.9801389,-98.0929167,2.947453
25.9829167,-98.0876389,2.947453
25.9840278,-98.0884722,2.947453
25.9801389,-98.08875,2.947453
25.9848611,-98.0865278,2.947453
25.9848611,-98.0868056,2.947453
25.9829167,-98.0918056,2.947453
23.6648611,-100.6543056,7.002401
23.6676389,-100.6545833,7.002401
23.6701389,-100.6590278,7.002401
23.6684722,-100.6551389,7.002401
23.6651389,-100.6540278,7.002401
23.6679167,-100.6556944,7.002401
23.6684722,-100.6565278,7.002401
23.6690278,-100.6570833,7.002401
23.6654167,-100.65375,7.002401
23.66875,-100.6584722,7.002401
23.6665278,-100.6570833,7.002401
23.6681944,-100.6540278,7.002401
23.6643056,-100.6545833,7.002401
23.6651389,-100.6554167,7.002401
23.6645833,-100.6556944,7.002401
23.6665278,-100.6543056,7.002401
23.6673611,-100.65625,7.002401
23.6698611,-100.6584722,7.002401
23.6706944,-100.6593056,7.002401
23.6648611,-100.6576389,7.002401
23.66875,-100.6590278,7.002401
23.6651389,-100.6559722,7.002401
23.6659722,-100.65375,7.002401
23.6698611,-100.6573611,7.002401
23.6676389,-100.6570833,7.002401
23.6681944,-100.6568056,7.002401
23.6690278,-100.6576389,7.002401
23.6695833,-100.6593056,7.002401
23.6648611,-100.6545833,7.002401
23.6690278,-100.6565278,7.002401
23.6648611,-100.6540278,7.002401
23.6690278,-100.6604167,7.002401
23.6654167,-100.6584722,7.002401
23.6698611,-100.65625,7.002401
23.6651389,-100.6551389,7.002401
23.6659722,-100.6556944,7.002401
23.66875,-100.6551389,7.002401
23.6648611,-100.6579167,7.002401
23.6651389,-100.6545833,7.002401
23.6665278,-100.6576389,7.002401
23.6665278,-100.6548611,7.002401
23.6659722,-100.6559722,7.002401
23.6648611,-100.6551389,7.002401
23.6673611,-100.6570833,7.002401
23.6670833,-100.6554167,7.002401
23.6698611,-100.6570833,7.002401
23.6695833,-100.6559722,7.002401
23.6704167,-100.6584722,7.002401
23.6656944,-100.6545833,7.002401
23.6645833,-100.6559722,7.002401
23.6693056,-100.65625,7.002401
23.6695833,-100.6570833,7.002401
23.6648611,-100.6556944,7.002401
23.6654167,-100.6543056,7.002401
23.6654167,-100.6559722,7.002401
23.6643056,-100.6556944,7.002401
23.6681944,-100.6556944,7.002401
23.6695833,-100.6579167,7.002401
23.66875,-100.6601389,7.002401
23.6676389,-100.6584722,7.002401
23.6701389,-100.65875,7.002401
23.6654167,-100.6551389,7.002401
23.6698611,-100.6565278,7.002401
23.6656944,-100.65625,7.002401
23.6643056,-100.6543056,7.002401
23.6726389,-100.6590278,7.002401
23.6679167,-100.6543056,7.002401
23.6643056,-100.6554167,7.002401
23.6645833,-100.6565278,7.002401
23.6690278,-100.6601389,7.002401
23.6690278,-100.6559722,7.002401
23.6643056,-100.6551389,7.002401
23.6656944,-100.65375,7.002401
23.6684722,-100.6598611,7.002401
23.6698611,-100.6576389,7.002401
23.6695833,-100.6556944,7.002401
23.6648611,-100.65375,7.002401
23.6648611,-100.6581944,7.002401
23.6690278,-100.6568056,7.002401
23.6651389,-100.6581944,7.002401
23.6701389,-100.6581944,7.002401
23.6673611,-100.6568056,7.002401
23.66875,-100.6604167,7.002401
23.6656944,-100.6554167,7.002401
23.6654167,-100.65875,7.002401
23.6656944,-100.6565278,7.002401
23.6648611,-100.6554167,7.002401
23.6684722,-100.6590278,7.002401
23.6654167,-100.6545833,7.002401
23.6668056,-100.6540278,7.002401
23.6656944,-100.6540278,7.002401
23.6668056,-100.6570833,7.002401
23.6665278,-100.6559722,7.002401
23.6673611,-100.6565278,7.002401
23.6645833,-100.6543056,7.002401
23.6684722,-100.6540278,7.002401
23.6695833,-100.6565278,7.002401
23.6681944,-100.6581944,7.002401
23.6659722,-100.6554167,7.002401
23.6706944,-100.65875,7.002401
23.66875,-100.6573611,7.002401
23.6684722,-100.6545833,7.002401
23.6654167,-100.6540278,7.002401
23.6684722,-100.6604167,7.002401
23.6670833,-100.6548611,7.002401
23.6684722,-100.6570833,7.002401
23.66875,-100.65875,7.002401
23.6704167,-100.65875,7.002401
23.6654167,-100.65625,7.002401
23.6695833,-100.6595833,7.002401
23.6693056,-100.6576389,7.002401
23.6684722,-100.6568056,7.002401
23.66625,-100.65875,7.002401
23.6651389,-100.65375,7.002401
23.66875,-100.6598611,7.002401
23.6693056,-100.6604167,7.002401
23.66875,-100.6570833,7.002401
23.6698611,-100.65875,7.002401
23.6665278,-100.65375,7.002401
23.6679167,-100.6579167,7.002401
23.6695833,-100.6584722,7.002401
23.6693056,-100.6573611,7.002401
23.66625,-100.6554167,7.002401
23.6673611,-100.6540278,7.002401
23.6673611,-100.6554167,7.002401
23.6693056,-100.6593056,7.002401
23.6654167,-100.6554167,7.002401
23.6676389,-100.6581944,7.002401
23.6648611,-100.6590278,7.002401
23.6665278,-100.6573611,7.002401
23.6695833,-100.6598611,7.002401
23.6726389,-100.65875,7.002401
23.6698611,-100.6593056,7.002401
23.6645833,-100.6548611,7.002401
23.6684722,-100.65625,7.002401
23.6670833,-100.6545833,7.002401
23.6670833,-100.6540278,7.002401
23.6679167,-100.6573611,7.002401
23.6698611,-100.6579167,7.002401
23.6648611,-100.6559722,7.002401
23.6670833,-100.6559722,7.002401
23.6693056,-100.6590278,7.002401
23.6690278,-100.6579167,7.002401
23.6676389,-100.6568056,7.002401
23.6695833,-100.6576389,7.002401
23.6643056,-100.65375,7.002401
23.6643056,-100.6534722,7.002401
23.6659722,-100.65625,7.002401
23.6651389,-100.6543056,7.002401
23.6645833,-100.6568056,7.002401
23.66875,-100.65625,7.002401
23.6670833,-100.6556944,7.002401
23.6668056,-100.6545833,7.002401
23.6645833,-100.6545833,7.002401
23.6695833,-100.6568056,7.002401
23.6656944,-100.6556944,7.002401
23.6668056,-100.6556944,7.002401
23.6693056,-100.6595833,7.002401
23.6698611,-100.6568056,7.002401
23.6654167,-100.6556944,7.002401
23.6676389,-100.6573611,7.002401
23.6684722,-100.6584722,7.002401
23.6690278,-100.6606944,7.002401
23.6693056,-100.6601389,7.002401
